"Time [s]","Committed size","Free size","Used size"
0.0,258048000,249157000,8891000
1.01,258048000,235315000,22733000
2.01,28672000,15149000,13523000
3.01,143360000,110350000,33010000
4.01,143360000,58825000,84535000
5.02,143360000,123755000,19605000
6.02,143360000,105552000,37808000
7.02,1261568000,788712000,472856000
8.03,1261568000,665667000,595901000
9.03,1261568000,534595000,726973000
10.03,1261568000,463939000,797629000
11.04,1261568000,694907000,566661000
12.04,1261568000,620209000,641359000
13.04,1261568000,736563000,525005000
14.05,1261568000,583987000,677581000
15.05,1261568000,629024000,632544000
16.06,1261568000,750019000,511549000
17.06,1261568000,699665000,561903000
18.06,1261568000,724251000,537317000
19.07,1261568000,703763000,557805000
20.07,1261568000,670938000,590630000
21.07,1261568000,533896000,727672000
22.08,1261568000,86408000,1175160000
23.08,1261568000,704736000,556832000
24.08,1605632000,343142000,1262490000
25.08,2701312000,1436690000,1264622000
26.09,2701312000,968722000,1732590000
27.09,2701312000,540690000,2160622000
28.09,2701312000,159762000,2541550000
29.1,2701312000,159762000,2541550000
30.1,2701312000,153618000,2547694000
31.1,2701312000,91154000,2610158000
32.1,2701312000,52242000,2649070000
33.1,2709504000,1647410000,1062094000
34.11,2709504000,1304270000,1405234000
35.11,2709504000,1228594000,1480910000
36.11,2709504000,956210000,1753294000
37.11,2709504000,916274000,1793230000
38.11,2709504000,880434000,1829070000
39.12,2709504000,847666000,1861838000
40.12,2709504000,809778000,1899726000
41.12,2709504000,778034000,1931470000
42.13,2709504000,728148000,1981356000
43.13,2709504000,656340000,2053164000
44.13,2709504000,1890395000,819109000
45.14,2709504000,1774515000,934989000
46.14,2709504000,1726771000,982733000
47.14,2709504000,1645875000,1063629000
48.15,2709504000,1426739000,1282765000
49.15,2709504000,1841398000,868106000
50.15,3139584000,1764745000,1374839000
51.15,3139584000,1734374000,1405210000
52.16,3139584000,1710985000,1428599000
53.16,3139584000,1783769000,1355815000
54.16,3700736000,6640000,3694096000
55.16,1173504000,989129000,184375000
56.17,1173504000,909788000,263716000
57.17,1173504000,818652000,354852000
58.17,1173504000,741852000,431652000
59.18,1173504000,649692000,523812000
60.18,1173504000,559580000,613924000
61.18,1173504000,478556000,694948000
62.18,1173504000,403676000,769828000
63.18,1173504000,333276000,840228000
64.19,1173504000,678093000,495411000
65.19,1173504000,660863000,512641000
66.19,1173504000,659711000,513793000
67.19,1173504000,594431000,579073000
68.2,1173504000,455167000,718337000
69.38,212992000,149413000,63579000
70.38,212992000,174112000,38880000
71.38,212992000,65655000,147337000
72.44,90112000,64870000,25242000
73.44,108544000,61116000,47428000
74.44,90112000,53188000,36924000
75.45,108544000,29458000,79086000
76.45,96256000,20623000,75633000
77.48,81920000,60199000,21721000
