"Time [s]","Committed size","Free size","Used size"
0.0,258048000,249157000,8891000
1.0,258048000,233380000,24668000
2.01,28672000,7945000,20727000
3.01,145408000,71411000,73997000
4.01,145408000,56741000,88667000
5.01,428032000,303837000,124195000
6.02,1050624000,717218000,333406000
7.02,1050624000,571810000,478814000
8.02,1050624000,448930000,601694000
9.02,1050624000,406946000,643678000
10.02,1050624000,865406000,185218000
11.03,1050624000,766078000,284546000
12.03,1050624000,610430000,440194000
13.03,1050624000,457854000,592770000
14.04,1050624000,305278000,745346000
15.04,1050624000,38014000,1012610000
16.04,1054720000,795859000,258861000
17.04,1054720000,695266000,359454000
18.04,1054720000,596962000,457758000
19.05,1054720000,492514000,562206000
20.05,1054720000,362018000,692702000
21.06,1054720000,198626000,856094000
22.06,1054720000,697254000,357466000
23.06,1054720000,674267000,380453000
24.06,1226752000,754445000,472307000
25.07,1898496000,1066876000,831620000
26.07,1898496000,599231000,1299265000
27.07,1898496000,209087000,1689409000
28.08,1898496000,1001125000,897371000
29.08,1898496000,1000324000,898172000
30.08,1898496000,999300000,899196000
31.08,1898496000,950148000,948348000
32.09,55296000,28283000,27013000
33.09,157696000,99107000,58589000
34.09,237568000,131011000,106557000
35.1,237568000,193052000,44516000
36.1,438272000,347344000,90928000
37.1,438272000,306393000,131879000
38.1,438272000,265433000,172839000
39.11,438272000,221401000,216871000
40.11,438272000,175321000,262951000
41.11,438272000,387487000,50785000
42.11,438272000,268456000,169816000
43.11,438272000,313327000,124945000
44.11,438272000,224074000,214198000
45.12,438272000,350919000,87353000
46.12,1202176000,92589000,1109587000
47.12,1212416000,5043000,1207373000
48.12,1220608000,1187430000,33178000
49.13,4069376000,3179614000,889762000
50.13,4024320000,984807000,3039513000
51.13,4024320000,892700000,3131620000
52.13,4024320000,789276000,3235044000
53.14,4024320000,685852000,3338468000
54.14,4024320000,593692000,3430628000
55.14,4024320000,497436000,3526884000
56.15,4024320000,418588000,3605732000
57.15,4024320000,335644000,3688676000
58.15,4024320000,266012000,3758308000
59.16,4024320000,255770000,3768550000
60.16,4024320000,253724000,3770596000
61.16,4024320000,235292000,3789028000
62.17,4024320000,113436000,3910884000
63.17,4110336000,2803541000,1306795000
64.17,4110336000,2631589000,1478747000
65.18,4110336000,2535333000,1575003000
66.18,4110336000,2392997000,1717339000
67.18,4110336000,2261925000,1848411000
68.19,4110336000,2129829000,1980507000
69.19,4110336000,2037669000,2072667000
70.19,4110336000,1919909000,2190427000
71.19,4110336000,1839013000,2271323000
79.28,4110336000,1777573000,2332763000
