"Time [s]","Committed size","Free size","Used size"
0.0,258048000,250880000,7168000
1.0,258048000,231972000,26076000
2.01,30720000,20333000,10387000
3.01,30720000,10023000,20697000
4.02,30720000,15488000,15232000
5.02,30720000,12297000,18423000
6.02,37888000,13523000,24365000
7.02,86016000,60095000,25921000
8.03,86016000,37209000,48807000
9.03,86016000,15871000,70145000
10.04,86016000,36879000,49137000
11.04,86016000,39126000,46890000
12.04,86016000,36146000,49870000
13.04,86016000,46191000,39825000
14.05,86016000,50418000,35598000
15.05,86016000,44487000,41529000
16.05,86016000,25654000,60362000
17.05,86016000,42010000,44006000
18.06,86016000,47058000,38958000
19.06,86016000,43185000,42831000
20.06,86016000,25095000,60921000
21.07,86016000,24741000,61275000
22.07,86016000,24634000,61382000
23.07,86016000,24591000,61425000
24.07,86016000,24064000,61952000
25.08,86016000,39720000,46296000
26.08,86016000,36543000,49473000
27.08,86016000,36416000,49600000
28.08,86016000,36387000,49629000
29.09,86016000,36384000,49632000
30.09,86016000,34532000,51484000
31.09,86016000,34374000,51642000
32.1,86016000,34275000,51741000
33.1,86016000,34261000,51755000
34.1,91136000,34350000,56786000
35.1,92160000,17765000,74395000
36.11,92160000,16629000,75531000
37.11,92160000,22490000,69670000
38.11,92160000,28110000,64050000
39.11,92160000,23075000,69085000
40.11,92160000,23874000,68286000
41.11,92160000,16806000,75354000
42.12,92160000,15027000,77133000
43.12,92160000,13606000,78554000
44.12,140288000,56198000,84090000
45.13,140288000,51099000,89189000
46.13,140288000,47997000,92291000
47.14,140288000,37931000,102357000
48.14,140288000,21803000,118485000
49.15,140288000,43585000,96703000
50.15,140288000,28462000,111826000
51.15,140288000,28347000,111941000
52.15,140288000,34660000,105628000
53.16,140288000,26337000,113951000
54.16,140288000,29314000,110974000
55.16,140288000,27366000,112922000
56.16,140288000,21440000,118848000
57.16,140288000,19569000,120719000
58.17,214016000,98822000,115194000
59.17,214016000,82021000,131995000
60.17,214016000,35906000,178110000
61.18,214016000,77399000,136617000
62.18,214016000,34042000,179974000
63.19,214016000,34503000,179513000
64.19,214016000,89613000,124403000
65.19,214016000,59453000,154563000
66.19,214016000,62301000,151715000
67.2,214016000,58028000,155988000
68.2,214016000,36300000,177716000
69.2,214016000,50450000,163566000
70.2,214016000,57831000,156185000
71.21,214016000,35006000,179010000
72.21,214016000,58770000,155246000
73.21,214016000,38799000,175217000
74.22,214016000,50563000,163453000
75.22,214016000,53193000,160823000
76.22,214016000,50706000,163310000
77.22,214016000,34008000,180008000
78.22,214016000,39355000,174661000
79.23,214016000,33917000,180099000
80.23,214016000,31996000,182020000
81.24,214016000,23169000,190847000
82.24,262144000,89611000,172533000
83.24,262144000,69998000,192146000
84.24,262144000,44121000,218023000
85.24,262144000,69550000,192594000
86.25,262144000,46558000,215586000
87.25,262144000,82096000,180048000
88.26,262144000,42024000,220120000
89.26,262144000,39967000,222177000
90.26,262144000,71573000,190571000
91.26,262144000,50800000,211344000
92.27,262144000,45128000,217016000
93.27,262144000,43365000,218779000
94.27,262144000,66156000,195988000
95.27,262144000,45107000,217037000
96.27,262144000,43629000,218515000
97.28,262144000,77946000,184198000
98.28,262144000,57970000,204174000
99.28,262144000,67894000,194250000
100.29,262144000,62279000,199865000
101.29,262144000,61898000,200246000
102.3,262144000,51578000,210566000
103.3,262144000,40722000,221422000
104.3,262144000,60162000,201982000
105.31,262144000,35430000,226714000
106.31,262144000,55307000,206837000
107.31,262144000,58543000,203601000
108.32,262144000,37634000,224510000
109.32,262144000,48634000,213510000
110.32,262144000,34921000,227223000
111.32,262144000,52227000,209917000
112.32,262144000,53513000,208631000
113.33,262144000,49808000,212336000
114.33,262144000,51506000,210638000
115.33,262144000,44495000,217649000
116.34,262144000,54411000,207733000
117.34,262144000,35496000,226648000
118.34,262144000,45554000,216590000
119.35,262144000,55426000,206718000
120.35,262144000,37497000,224647000
121.36,262144000,47323000,214821000
122.36,262144000,45213000,216931000
123.36,262144000,42913000,219231000
124.36,262144000,36846000,225298000
125.37,262144000,41015000,221129000
126.37,262144000,40770000,221374000
127.37,262144000,32966000,229178000
128.37,262144000,39193000,222951000
129.38,262144000,42101000,220043000
130.38,262144000,34302000,227842000
131.75,262144000,40481000,221663000
