"Time [s]","Committed size","Free size","Used size"
0.0,247296000,239553000,7743000
1.0,247296000,185348000,61948000
2.0,247296000,230994000,16302000
3.01,204800000,187506000,17294000
4.01,204800000,96598000,108202000
5.02,326656000,294789000,31867000
6.02,326656000,238428000,88228000
7.02,326656000,167703000,158953000
8.03,326144000,193829000,132315000
9.03,326144000,123310000,202834000
10.03,420352000,333540000,86812000
11.03,420352000,285468000,134884000
12.04,487936000,440365000,47571000
13.04,487936000,378210000,109726000
14.04,487936000,274312000,213624000
15.04,575488000,460468000,115020000
16.04,575488000,305291000,270197000
17.05,576000000,417943000,158057000
18.05,576000000,293579000,282421000
19.05,576000000,210625000,365375000
20.05,692736000,612051000,80685000
21.06,692736000,531965000,160771000
22.06,692736000,327631000,365105000
23.06,694272000,596310000,97962000
24.06,694272000,525055000,169217000
25.06,694272000,442122000,252150000
